borough_name,neighborhood,building_class,building_class_map,building_class_at_sale,tax_class_at_sale,building_type,zipcode,total_units,gross_square_feet,year_built,sale_date,sale_price,log_sale_price,log_gross_square_feet
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,1492,1930,2013-06-06,560000.0,13.235692062711331,7.307872780763706
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,1724,1930,2012-12-18,860000.0,13.664687668229691,7.452402451223638
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,2132,1930,2012-08-24,508000.0,13.138236726560619,7.664815785285735
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,S,  1 ,COMMERCIAL W/ RESIDENTIAL,11214,2,3304,1960,2012-11-29,820000.0,13.617059619240436,8.102889134640868
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11228,1,2000,1935,2012-11-14,690000.0,13.444446876573442,7.600902459542082
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,S,  1 ,COMMERCIAL W/ RESIDENTIAL,11214,2,1800,1920,2013-06-03,550000.0,13.217673557208654,7.495541943884256
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,1281,1915,2013-03-11,479000.0,13.079455876393052,7.155396301896734
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,2346,1935,2013-06-06,738000.0,13.51169910358261,7.76046702921342
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11228,1,1562,1920,2013-05-07,685000.0,13.437174117244362,7.3537223303996315
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,RESIDENTIAL,11214,1,2500,1930,2013-05-31,520000.0,13.16158409055761,7.824046010856292
Brooklyn,BATH BEACH,ONE FAMILY HOMES,FAMILY,A,  1 ,COMMERCIAL W/ RESIDENTIAL,11228,3,5107,1945,2013-07-25,1707200.0,14.350365159529625,8.538367426647644
